lat,long
38.434673,-78.862785
38.434749,-78.862968
38.434799,-78.863243
38.434787,-78.863502
38.434661,-78.863945
38.434635,-78.864097
38.434623,-78.864288
38.434631,-78.864471
38.434703,-78.864799
38.434936,-78.865402
38.43531,-78.866302
38.435352,-78.866447
38.435375,-78.8666
38.435379,-78.866699
38.435348,-78.866958
38.435279,-78.867179
38.435115,-78.8675
38.434703,-78.868743
38.434635,-78.869018
38.434619,-78.869316
38.434642,-78.869651
38.434776,-78.870193
38.434776,-78.870193
38.434444,-78.870361
38.434261,-78.870513
38.434024,-78.870826
38.433578,-78.871612
38.432594,-78.873123
38.431671,-78.874328
38.43103,-78.875587
38.430812,-78.876045
38.430812,-78.876045
38.431262,-78.876281
38.431308,-78.876319
